Classifier: RandomForestClassifier, Accuracy: 0.920863309352518, Precision: 0.9917355371900827, Recall: 0.7894736842105263, F1_score: 0.8791208791208791
Classifier: SVC, Accuracy: 1.0, Precision: 1.0, Recall: 1.0, F1_score: 1.0
Classifier: DecisionTreeClassifier, Accuracy: 0.9544364508393285, Precision: 0.9523809523809523, Recall: 0.9210526315789473, F1_score: 0.9364548494983278
Classifier: RandomForestClassifier, Accuracy: 0.882494004796163, Precision: 0.9904761904761905, Recall: 0.6842105263157895, F1_score: 0.8093385214007782
Classifier: SVC, Accuracy: 1.0, Precision: 1.0, Recall: 1.0, F1_score: 1.0
Classifier: DecisionTreeClassifier, Accuracy: 0.9544364508393285, Precision: 0.9523809523809523, Recall: 0.9210526315789473, F1_score: 0.9364548494983278
Classifier: RandomForestClassifier, Accuracy: 0.9112709832134293, Precision: 1.0, Recall: 0.756578947368421, F1_score: 0.8614232209737828
Classifier: SVC, Accuracy: 1.0, Precision: 1.0, Recall: 1.0, F1_score: 1.0
Classifier: DecisionTreeClassifier, Accuracy: 0.9544364508393285, Precision: 0.9523809523809523, Recall: 0.9210526315789473, F1_score: 0.9364548494983278
Classifier: RandomForestClassifier, Accuracy: 0.935251798561151, Precision: 1.0, Recall: 0.8223684210526315, F1_score: 0.9025270758122743
Classifier: SVC, Accuracy: 1.0, Precision: 1.0, Recall: 1.0, F1_score: 1.0
Classifier: DecisionTreeClassifier, Accuracy: 0.9544364508393285, Precision: 0.9523809523809523, Recall: 0.9210526315789473, F1_score: 0.9364548494983278
Classifier: RandomForestClassifier, Accuracy: 0.9016786570743405, Precision: 1.0, Recall: 0.7302631578947368, F1_score: 0.844106463878327
Classifier: SVC, Accuracy: 1.0, Precision: 1.0, Recall: 1.0, F1_score: 1.0
Classifier: DecisionTreeClassifier, Accuracy: 0.9544364508393285, Precision: 0.9523809523809523, Recall: 0.9210526315789473, F1_score: 0.9364548494983278
